model,vision_corruption,image_severity,retention_margin,damage_ssim,ssim,psnr,n
openai_clip_b32,cutout,1,0.14613269666666667,0.05382919568117873,0.9461708043188213,19.749166704127525,900
openai_clip_b32,cutout,2,0.14004568,0.10560968979237283,0.8943903102076272,16.620541413468874,900
openai_clip_b32,cutout,3,0.12804596000000001,0.208916402347175,0.791083597652825,13.214733854617839,900
openai_clip_b32,cutout,4,0.10831824888888889,0.3621395873406792,0.6378604126593207,10.648275092787229,900
openai_clip_b32,cutout,5,0.08326962444444444,0.5143871594477459,0.4856128405522541,9.01137257989291,900
openai_clip_b32,gaussian_blur,1,0.1564020988888889,0.02537024804334281,0.9746297519566571,35.48775439586865,900
openai_clip_b32,gaussian_blur,2,0.15229477555555557,0.16976987382051717,0.8302301261794828,27.600374594631763,900
openai_clip_b32,gaussian_blur,3,0.14245273777777775,0.32748268978219397,0.672517310217806,24.27631838572786,900
openai_clip_b32,gaussian_blur,4,0.12440505555555556,0.42881369040546896,0.571186309594531,22.452889855286028,900
openai_clip_b32,gaussian_blur,5,0.10805611777777778,0.4767392569648364,0.5232607430351637,21.42337366620449,900
openai_clip_b32,gaussian_noise,1,0.15727600666666666,0.23545858809440068,0.7645414119055993,30.24025643439132,900
openai_clip_b32,gaussian_noise,2,0.1547899488888889,0.4624822561380729,0.5375177438619271,24.37376219217094,900
openai_clip_b32,gaussian_noise,3,0.15289306111111112,0.5952122502852304,0.4047877497147696,21.00048676788988,900
openai_clip_b32,gaussian_noise,4,0.14862708000000002,0.7381454514132174,0.26185454858678264,16.880327157210623,900
openai_clip_b32,gaussian_noise,5,0.13916222888888888,0.8384383538024195,0.16156164619758048,13.341558604242064,900
openai_clip_l14,cutout,1,0.15965306666666668,0.05382919568117873,0.9461708043188213,19.749166704127525,900
openai_clip_l14,cutout,2,0.15464653444444446,0.10560968979237283,0.8943903102076272,16.620541413468874,900
openai_clip_l14,cutout,3,0.14229514333333335,0.208916402347175,0.791083597652825,13.214733854617839,900
openai_clip_l14,cutout,4,0.12506872222222223,0.3621395873406792,0.6378604126593207,10.648275092787229,900
openai_clip_l14,cutout,5,0.1065321588888889,0.5143871594477459,0.4856128405522541,9.01137257989291,900
openai_clip_l14,gaussian_blur,1,0.17320370555555553,0.02537024804334281,0.9746297519566571,35.48775439586865,900
openai_clip_l14,gaussian_blur,2,0.1681152888888889,0.16976987382051717,0.8302301261794828,27.600374594631763,900
openai_clip_l14,gaussian_blur,3,0.16089262666666665,0.32748268978219397,0.672517310217806,24.27631838572786,900
openai_clip_l14,gaussian_blur,4,0.15245024333333335,0.42881369040546896,0.571186309594531,22.452889855286028,900
openai_clip_l14,gaussian_blur,5,0.14321458111111113,0.4767392569648364,0.5232607430351637,21.42337366620449,900
openai_clip_l14,gaussian_noise,1,0.17579846333333332,0.23545858809440068,0.7645414119055993,30.24025643439132,900
openai_clip_l14,gaussian_noise,2,0.17365131777777776,0.4624822561380729,0.5375177438619271,24.37376219217094,900
openai_clip_l14,gaussian_noise,3,0.17216876888888888,0.5952122502852304,0.4047877497147696,21.00048676788988,900
openai_clip_l14,gaussian_noise,4,0.16918128333333335,0.7381454514132174,0.26185454858678264,16.880327157210623,900
openai_clip_l14,gaussian_noise,5,0.1616193611111111,0.8384383538024195,0.16156164619758048,13.341558604242064,900
openclip_l14_laion2b,cutout,1,0.2678717,0.05382919568117873,0.9461708043188213,19.749166704127525,900
openclip_l14_laion2b,cutout,2,0.2592191033333333,0.10560968979237283,0.8943903102076272,16.620541413468874,900
openclip_l14_laion2b,cutout,3,0.23648952555555555,0.208916402347175,0.791083597652825,13.214733854617839,900
openclip_l14_laion2b,cutout,4,0.20048631111111112,0.3621395873406792,0.6378604126593207,10.648275092787229,900
openclip_l14_laion2b,cutout,5,0.15708411111111112,0.5143871594477459,0.4856128405522541,9.01137257989291,900
openclip_l14_laion2b,gaussian_blur,1,0.2834451244444445,0.02537024804334281,0.9746297519566571,35.48775439586865,900
openclip_l14_laion2b,gaussian_blur,2,0.27778596666666666,0.16976987382051717,0.8302301261794828,27.600374594631763,900
openclip_l14_laion2b,gaussian_blur,3,0.27185819333333333,0.32748268978219397,0.672517310217806,24.27631838572786,900
openclip_l14_laion2b,gaussian_blur,4,0.2707901611111111,0.42881369040546896,0.571186309594531,22.452889855286028,900
openclip_l14_laion2b,gaussian_blur,5,0.2633482233333333,0.4767392569648364,0.5232607430351637,21.42337366620449,900
openclip_l14_laion2b,gaussian_noise,1,0.2849736744444445,0.23545858809440068,0.7645414119055993,30.24025643439132,900
openclip_l14_laion2b,gaussian_noise,2,0.2819145866666667,0.4624822561380729,0.5375177438619271,24.37376219217094,900
openclip_l14_laion2b,gaussian_noise,3,0.27839835,0.5952122502852304,0.4047877497147696,21.00048676788988,900
openclip_l14_laion2b,gaussian_noise,4,0.27174278444444444,0.7381454514132174,0.26185454858678264,16.880327157210623,900
openclip_l14_laion2b,gaussian_noise,5,0.2555348811111111,0.8384383538024195,0.16156164619758048,13.341558604242064,900
pecore_l14_336,cutout,1,0.21573699111111114,0.05382919568117873,0.9461708043188213,19.749166704127525,900
pecore_l14_336,cutout,2,0.20990025555555558,0.10560968979237283,0.8943903102076272,16.620541413468874,900
pecore_l14_336,cutout,3,0.19817303777777778,0.208916402347175,0.791083597652825,13.214733854617839,900
pecore_l14_336,cutout,4,0.18114153111111111,0.3621395873406792,0.6378604126593207,10.648275092787229,900
pecore_l14_336,cutout,5,0.16473501,0.5143871594477459,0.4856128405522541,9.01137257989291,900
pecore_l14_336,gaussian_blur,1,0.2282611566666667,0.02537024804334281,0.9746297519566571,35.48775439586865,900
pecore_l14_336,gaussian_blur,2,0.22040795444444444,0.16976987382051717,0.8302301261794828,27.600374594631763,900
pecore_l14_336,gaussian_blur,3,0.21124501444444443,0.32748268978219397,0.672517310217806,24.27631838572786,900
pecore_l14_336,gaussian_blur,4,0.20501393666666665,0.42881369040546896,0.571186309594531,22.452889855286028,900
pecore_l14_336,gaussian_blur,5,0.20055649444444446,0.4767392569648364,0.5232607430351637,21.42337366620449,900
pecore_l14_336,gaussian_noise,1,0.22741044000000002,0.23545858809440068,0.7645414119055993,30.24025643439132,900
pecore_l14_336,gaussian_noise,2,0.22409738111111113,0.4624822561380729,0.5375177438619271,24.37376219217094,900
pecore_l14_336,gaussian_noise,3,0.22158430444444444,0.5952122502852304,0.4047877497147696,21.00048676788988,900
pecore_l14_336,gaussian_noise,4,0.21640185666666667,0.7381454514132174,0.26185454858678264,16.880327157210623,900
pecore_l14_336,gaussian_noise,5,0.20812929333333333,0.8384383538024195,0.16156164619758048,13.341558604242064,900
siglip2_so400m_384,cutout,1,0.19318442111111112,0.05382919568117873,0.9461708043188213,19.749166704127525,900
siglip2_so400m_384,cutout,2,0.18803858444444443,0.10560968979237283,0.8943903102076272,16.620541413468874,900
siglip2_so400m_384,cutout,3,0.17528449444444444,0.208916402347175,0.791083597652825,13.214733854617839,900
siglip2_so400m_384,cutout,4,0.15734175555555557,0.3621395873406792,0.6378604126593207,10.648275092787229,900
siglip2_so400m_384,cutout,5,0.14052740444444445,0.5143871594477459,0.4856128405522541,9.01137257989291,900
siglip2_so400m_384,gaussian_blur,1,0.20881266333333334,0.02537024804334281,0.9746297519566571,35.48775439586865,900
siglip2_so400m_384,gaussian_blur,2,0.20827318777777776,0.16976987382051717,0.8302301261794828,27.600374594631763,900
siglip2_so400m_384,gaussian_blur,3,0.1976498288888889,0.32748268978219397,0.672517310217806,24.27631838572786,900
siglip2_so400m_384,gaussian_blur,4,0.1872370388888889,0.42881369040546896,0.571186309594531,22.452889855286028,900
siglip2_so400m_384,gaussian_blur,5,0.17530295222222222,0.4767392569648364,0.5232607430351637,21.42337366620449,900
siglip2_so400m_384,gaussian_noise,1,0.2055817722222222,0.23545858809440068,0.7645414119055993,30.24025643439132,900
siglip2_so400m_384,gaussian_noise,2,0.20469802555555558,0.4624822561380729,0.5375177438619271,24.37376219217094,900
siglip2_so400m_384,gaussian_noise,3,0.20417877666666667,0.5952122502852304,0.4047877497147696,21.00048676788988,900
siglip2_so400m_384,gaussian_noise,4,0.1993693688888889,0.7381454514132174,0.26185454858678264,16.880327157210623,900
siglip2_so400m_384,gaussian_noise,5,0.18646661,0.8384383538024195,0.16156164619758048,13.341558604242064,900
