model,metric,vision_corruption,image_severity,text_corruption,text_severity,seed_a,seed_b,spearman_rho,p,n
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,0,1,-0.05871082250386328,0.06347092539904854,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,0,2,-0.02145933161720378,0.4978776103289582,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,1,none,0,1,2,-0.07939554913316181,0.012020800760224193,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,0,1,-0.041831304675802254,0.1862527173400996,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,0,2,-0.021660322719796243,0.49385953904630364,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,2,none,0,1,2,0.035477702938872466,0.2623503792050112,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,0,1,-0.027411596896246997,0.3865398740784928,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,0,2,0.062228762463075994,0.04914956957034368,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,3,none,0,1,2,-0.006048146962779055,0.84850856407452,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,0,1,0.05524713288902948,0.08077335272976789,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,0,2,-0.011992802177368022,0.704847530283669,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,4,none,0,1,2,0.040630870506320735,0.1992175155910135,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,0,1,0.017771300301158737,0.5745798805346654,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,0,2,0.027994021384488286,0.37652630520582414,1000
openai_clip_b32,per_pair_recall_at_1_i2t,cutout,5,none,0,1,2,-0.02488656004430749,0.43179743085831035,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,1,-0.05907320817481743,0.061852260528109444,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,2,-0.017067784590617027,0.5898213365791893,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,1,2,-0.06476852804778518,0.040584561686083084,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,1,-0.026939211142900522,0.3947795648644786,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,2,-0.017006027644454035,0.5911681175727733,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,1,2,-0.0826757551261184,0.008905883908231911,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,1,0.029650733586974072,0.34892743508804513,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,2,-0.00039616004992839557,0.990017118766351,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,1,2,-0.07047114830973594,0.02584871237731131,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,1,0.01577309149071629,0.6183458346287615,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,2,0.04693095727855313,0.13806160422777838,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,1,2,-0.052740157696268025,0.09554136484268656,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,1,0.050160199643169125,0.11291662432712508,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,2,-0.01655532965437119,0.6010392911607656,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,1,2,-0.030949910418125625,0.3282067803584595,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,1,-0.025954177617782615,0.4122989166511808,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,2,-0.0027113314402143394,0.9317583638590127,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,1,2,-0.06611848838501043,0.03657084518807435,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,1,-0.02584577365000927,0.4142546577238279,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,2,0.006728828502419761,0.8317009762546708,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,1,2,-0.04634976995680838,0.14301304162213477,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,1,-0.0024095665269110345,0.9393379544326724,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,2,0.01976537634432768,0.5324205226589619,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,1,2,-0.06673192220665092,0.034861664682932184,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,1,-0.00991447889122929,0.7541751230502528,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,2,-0.004486171306912546,0.8873260807391903,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,1,2,-0.04992448248779624,0.11462073254869712,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,1,0.00025046734632805666,0.9936883467320494,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,2,-0.02956934669594375,0.3502525225140054,1000
openai_clip_b32,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,1,2,-0.07795016048103982,0.013675728094716705,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,0,1,0.010429389037129446,0.7418513249852253,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,0,2,-0.007296685978945108,0.8177374925410593,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,1,1,2,0.054649824280097056,0.08411224713018405,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,0,1,-0.010613672166766713,0.7374565399245132,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,0,2,-0.07068910870620414,0.025391959667773165,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,2,1,2,0.029859631261454984,0.3455408779044698,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,0,1,-0.058589131186223393,0.06402225932118948,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,0,2,0.006725836005944192,0.8317747058489535,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,3,1,2,-0.021390680185780463,0.49925401050435053,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,0,1,-0.027422121375725056,0.38635750013221065,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,0,2,-0.05490935997090277,0.08264801293206567,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,4,1,2,-0.025976754951071525,0.41189228258311505,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,5,0,1,0.010278910559909942,0.7454461886865624,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,5,0,2,0.042738792628228,0.17687296945019196,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,mask,5,1,2,0.006890141752606328,0.8277287199883613,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,1,0,1,-0.022370923646253635,0.4797937342277629,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,1,0,2,-0.0146632817990353,0.6432650002057878,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,1,1,2,0.03396961258947978,0.2831905169853186,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,2,0,1,-0.040081298097796265,0.2053679157154268,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,2,0,2,-0.01602931351297359,0.6126531186297102,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,2,1,2,0.06905698646742293,0.028988005924585666,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,3,0,1,-0.01839296409312466,0.5612685759023248,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,3,0,2,-0.02623844385423693,0.4071964327669543,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,3,1,2,-0.03328670328078978,0.29298638372321917,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,4,0,1,-0.024833865952573565,0.43277343213619546,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,4,0,2,-0.036745981726604926,0.24566275919051797,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,4,1,2,-0.003236867281650207,0.9185733407235982,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,5,0,1,-0.01878666372691011,0.5529162973887808,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,5,0,2,-0.015092486692378799,0.6335782137612356,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,replace,5,1,2,0.04666308327942833,0.14032712167251807,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,1,0,1,0.019668275056130353,0.5344366876044419,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,1,0,2,-0.01750619718288299,0.5803013849519597,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,1,1,2,0.04854820821274987,0.12497708648919008,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,2,0,1,-0.018719638597253233,0.5543339171229443,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,2,0,2,-0.046144409060568485,0.14479478207716348,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,2,1,2,0.0516772182768225,0.10242177442932583,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,3,0,1,0.021451578768977,0.49803294697703776,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,3,0,2,-0.024121467473486924,0.44609306645186164,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,3,1,2,0.0896480363561958,0.004552702056554366,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,4,0,1,-0.05415097772729249,0.08698545797891924,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,4,0,2,-0.014991929982196043,0.6358421540804935,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,4,1,2,0.01251689266641941,0.6925924781760667,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,5,0,1,0.025714508806373878,0.4166301569299189,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,5,0,2,-0.03661303060518458,0.24737637883188698,1000
openai_clip_b32,per_pair_recall_at_1_t2i,none,0,shuffle,5,1,2,0.024873076734732304,0.4320470477365824,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,1,none,0,0,1,-0.006075950636534191,0.8478206239142161,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,1,none,0,0,2,0.016588875211722153,0.6003020224827591,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,1,none,0,1,2,-0.04197345688262336,0.18475967358535023,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,2,none,0,0,1,0.03625566779039239,0.2520238239036396,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,2,none,0,0,2,0.048958134969743154,0.12181896785272779,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,2,none,0,1,2,-0.025490812701061544,0.4206968212178478,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,3,none,0,0,1,0.05914672377708129,0.06152808664076818,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,3,none,0,0,2,0.03967389138703675,0.21001543842645234,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,3,none,0,1,2,-0.011001924945429946,0.728225639858302,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,4,none,0,0,1,0.05489582766901864,0.08272384555493681,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,4,none,0,0,2,0.04868291253369025,0.1239323547230928,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,4,none,0,1,2,-0.04867703570301357,0.12397779148123227,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,5,none,0,0,1,-0.0015416788201945868,0.9611653741392804,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,5,none,0,0,2,0.04329865672225847,0.1712642264985756,1000
openai_clip_l14,per_pair_recall_at_1_i2t,cutout,5,none,0,1,2,-0.06586657024005199,0.03729312642804877,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,1,0.04365794599328973,0.16773555822844058,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,2,-0.030180214295331194,0.3403845610081927,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,1,2,-0.030162051608560992,0.3406753708535441,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,1,0.06926886217916285,0.028497744966045006,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,2,-0.011966479027212729,0.7054651108589256,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,1,2,-0.029640401560357514,0.349095477882754,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,1,0.003760154439730443,0.9054669060592344,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,2,0.03465648682477087,0.27356371848860755,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,1,2,-0.031532413970177156,0.3191806481982187,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,1,0.0034259382954095648,0.91383506280871,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,2,0.04545655984814672,0.15088647827092505,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,1,2,-0.04450933898485155,0.15959187244950684,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,1,0.007247378621721808,0.8189477299611082,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,2,0.06750666757926486,0.032800764446276734,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,1,2,-0.019133234053862778,0.5456145841792489,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,1,-0.0036427274101740034,0.9084059169083261,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,2,0.008033501660927563,0.7997057104101946,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,1,2,0.013743038702708956,0.6642376189868253,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,1,-0.000508809402926332,0.9871786721379708,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,2,0.0006109907530728845,0.9846041289065304,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,1,2,-0.019002822489956064,0.5483565463471255,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,1,-0.008523178802921994,0.7877801152307072,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,2,0.015252975695113637,0.6299720467382782,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,1,2,-0.03352106672968776,0.28959931626141,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,1,-0.020494842406591895,0.5173981882608237,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,2,0.011439023355626646,0.7178803713744235,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,1,2,-0.05473173498475738,0.08364788051867075,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,1,0.06894605725100876,0.029247564872879914,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,0,2,-0.020904422537699106,0.5090605340839284,1000
openai_clip_l14,per_pair_recall_at_1_i2t,gaussian_noise,5,none,0,1,2,-0.04254288847931332,0.17886747854025736,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,1,0,1,0.007391991656358713,0.8153994687714811,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,1,0,2,-0.040548154649150264,0.20013451831700313,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,1,1,2,-0.04334655670604079,0.17079060835760637,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,2,0,1,0.016802908235088728,0.5956076229821043,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,2,0,2,-0.020932620689339033,0.5084891129928376,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,2,1,2,-0.0460951836514731,0.14522438139269012,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,0,1,0.012217856249971876,0.6995753887748283,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,0,2,-0.04723951841845118,0.13548698194603948,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,1,2,-0.03117305242211162,0.3247297532054049,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,0,1,0.015363359390799865,0.6274968334639283,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,0,2,0.015541376047383981,0.6235138500371125,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,1,2,-0.03707556798867222,0.24145058567608976,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,0,1,-0.028223207869889983,0.3726301406658041,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,0,2,0.006886285677879343,0.8278236229706039,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,1,2,-0.010149468139369254,0.7485429479083118,1000
